?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000002>	"BTO:0002249"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"MESH:D002584"
<http://purl.obolibrary.org/obo/UBERON_0000002>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0000002>	"FMA:TA"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"MAT:0000292"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"galen:CervixUteri"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"EFO:0000979"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"BTO:0001421"
<http://purl.obolibrary.org/obo/UBERON_0000002>	<http://linkedlifedata.com/resource/umls/id/C0007874>
<http://purl.obolibrary.org/obo/UBERON_0000002>	<http://www.snomedbrowser.com/Codes/Details/181453009>
<http://purl.obolibrary.org/obo/UBERON_0000002>	"OpenCyc:Mx4rvVipEJwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"FMA:17740"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"EMAPA:29927"
<http://purl.obolibrary.org/obo/UBERON_0000002>	<http://en.wikipedia.org/wiki/Cervix>
<http://purl.obolibrary.org/obo/UBERON_0000002>	"EV:0100114"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"VHOG:0001359"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"GAID:376"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"CALOHA:TS-0134"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"MA:0000392"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"UMLS:C0007874"
<http://purl.obolibrary.org/obo/UBERON_0000002>	"NCIT:C12311"
<http://purl.obolibrary.org/obo/UBERON_0005181>	"EMAPA:37271"
<http://purl.obolibrary.org/obo/UBERON_0005181>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0005181>	"MA:0000563"
